Identifier;Email;Country;Custom1;bool30TrueAdvancedRules;boolDefaultFalse;boolDefaultTrue;double25Pi25E25Gr25Zero;doubleDefaultPi;integer25One25Two25Three25FourAdvancedRules;integerDefaultOne;string25Cat25Dog25Falcon25Horse;string25Cat25Dog25Falcon25HorseAdvancedRules;string75Cat0Dog25Falcon0Horse;stringContainsDogDefaultCat;stringDefaultCat;stringIsInDogDefaultCat;stringIsNotInDogDefaultCat;stringNotContainsDogDefaultCat
psharpe@comcast.net;psharpe@comcast.net;;;False;False;True;3.1415;3.1415;1;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
ebassi@me.com;ebassi@me.com;;;True;False;True;2.7182;3.1415;3;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
curly@aol.com;curly@aol.com;;;False;False;True;2.7182;3.1415;1;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
rddesign@optonline.net;rddesign@optonline.net;;;False;False;True;2.7182;3.1415;2;1;Dog;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
boftx@gmail.com;boftx@gmail.com;;;False;False;True;0.0;3.1415;3;1;Cat;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
eegsa@yahoo.ca;eegsa@yahoo.ca;;;False;False;True;3.1415;3.1415;2;1;Horse;Cat;Cat;Cat;Cat;Cat;Dog;Dog
ganter@gmail.com;ganter@gmail.com;;;False;False;True;2.7182;3.1415;3;1;Horse;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
mleary@att.net;mleary@att.net;;;False;False;True;3.1415;3.1415;3;1;Falcon;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
kassiesa@icloud.com;kassiesa@icloud.com;;;True;False;True;2.7182;3.1415;4;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
peterhoeg@outlook.com;peterhoeg@outlook.com;;;False;False;True;0.0;3.1415;1;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
mhanoh@yahoo.ca;mhanoh@yahoo.ca;;;False;False;True;1.61803;3.1415;4;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
henkp@yahoo.com;henkp@yahoo.com;;;False;False;True;1.61803;3.1415;2;1;Cat;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
krueger@sbcglobal.net;krueger@sbcglobal.net;;;False;False;True;0.0;3.1415;4;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
barjam@yahoo.com;barjam@yahoo.com;;;False;False;True;3.1415;3.1415;3;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
mirod@msn.com;mirod@msn.com;;;False;False;True;3.1415;3.1415;2;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
marioph@yahoo.com;marioph@yahoo.com;;;True;False;True;3.1415;3.1415;2;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
niknejad@optonline.net;niknejad@optonline.net;;;False;False;True;2.7182;3.1415;2;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
bwcarty@sbcglobal.net;bwcarty@sbcglobal.net;;;False;False;True;0.0;3.1415;1;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
mcast@aol.com;mcast@aol.com;;;False;False;True;0.0;3.1415;1;1;Falcon;Cat;Cat;Cat;Cat;Cat;Dog;Dog
portscan@msn.com;portscan@msn.com;;;False;False;True;3.1415;3.1415;4;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
pereinar@yahoo.ca;pereinar@yahoo.ca;;;False;False;True;2.7182;3.1415;1;1;Cat;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
floxy@verizon.net;floxy@verizon.net;;;False;False;True;0.0;3.1415;2;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
mhassel@comcast.net;mhassel@comcast.net;;;False;False;True;3.1415;3.1415;1;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
mgemmons@optonline.net;mgemmons@optonline.net;;;False;False;True;1.61803;3.1415;3;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
luvirini@mac.com;luvirini@mac.com;;;False;False;True;0.0;3.1415;4;1;Dog;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
gslondon@gmail.com;gslondon@gmail.com;;;False;False;True;3.1415;3.1415;4;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
lamky@comcast.net;lamky@comcast.net;;;False;False;True;1.61803;3.1415;1;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
lipeng@aol.com;lipeng@aol.com;;;False;False;True;1.61803;3.1415;1;1;Horse;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
keiji@mac.com;keiji@mac.com;;;True;False;True;2.7182;3.1415;3;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
gumpish@verizon.net;gumpish@verizon.net;;;True;False;True;1.61803;3.1415;1;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
tromey@hotmail.com;tromey@hotmail.com;;;True;False;True;1.61803;3.1415;1;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
miyop@aol.com;miyop@aol.com;;;True;False;True;3.1415;3.1415;1;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
natepuri@me.com;natepuri@me.com;;;True;False;True;0.0;3.1415;2;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
sbmrjbr@outlook.com;sbmrjbr@outlook.com;;;True;False;True;1.61803;3.1415;4;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
hahiss@gmail.com;hahiss@gmail.com;;;False;False;True;2.7182;3.1415;1;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
gmcgath@yahoo.ca;gmcgath@yahoo.ca;;;True;False;True;0.0;3.1415;3;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
zavadsky@msn.com;zavadsky@msn.com;;;False;False;True;3.1415;3.1415;4;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
munson@gmail.com;munson@gmail.com;;;False;False;True;0.0;3.1415;2;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
jfriedl@yahoo.com;jfriedl@yahoo.com;;;False;False;True;3.1415;3.1415;2;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
lushe@yahoo.ca;lushe@yahoo.ca;;;False;False;True;2.7182;3.1415;2;1;Dog;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
skythe@gmail.com;skythe@gmail.com;;;False;False;True;0.0;3.1415;4;1;Horse;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
lipeng@aol.com;lipeng@aol.com;;;False;False;True;1.61803;3.1415;1;1;Horse;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
jigsaw@me.com;jigsaw@me.com;;;True;False;True;0.0;3.1415;2;1;Falcon;Cat;Cat;Cat;Cat;Cat;Dog;Dog
schwaang@gmail.com;schwaang@gmail.com;;;False;False;True;3.1415;3.1415;3;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
eurohack@verizon.net;eurohack@verizon.net;;;False;False;True;3.1415;3.1415;2;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
janneh@icloud.com;janneh@icloud.com;;;False;False;True;1.61803;3.1415;3;1;Horse;Cat;Cat;Cat;Cat;Cat;Dog;Dog
frederic@me.com;frederic@me.com;;;False;False;True;1.61803;3.1415;4;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
facet@optonline.net;facet@optonline.net;;;False;False;True;1.61803;3.1415;3;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
uncle@aol.com;uncle@aol.com;;;True;False;True;3.1415;3.1415;3;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
wilsonpm@comcast.net;wilsonpm@comcast.net;;;False;False;True;2.7182;3.1415;4;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
garland@optonline.net;garland@optonline.net;;;True;False;True;2.7182;3.1415;4;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
srour@yahoo.com;srour@yahoo.com;;;False;False;True;3.1415;3.1415;1;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
inico@hotmail.com;inico@hotmail.com;;;False;False;True;3.1415;3.1415;1;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
plover@comcast.net;plover@comcast.net;;;False;False;True;3.1415;3.1415;1;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
amichalo@comcast.net;amichalo@comcast.net;;;True;False;True;0.0;3.1415;3;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
mirod@hotmail.com;mirod@hotmail.com;;;False;False;True;2.7182;3.1415;1;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
bester@mac.com;bester@mac.com;;;False;False;True;3.1415;3.1415;3;1;Cat;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
kildjean@verizon.net;kildjean@verizon.net;;;False;False;True;3.1415;3.1415;1;1;Horse;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
arandal@comcast.net;arandal@comcast.net;;;False;False;True;2.7182;3.1415;2;1;Horse;Cat;Cat;Cat;Cat;Cat;Dog;Dog
bartlett@yahoo.com;bartlett@yahoo.com;;;False;False;True;2.7182;3.1415;1;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
zyghom@icloud.com;zyghom@icloud.com;;;False;False;True;0.0;3.1415;1;1;Horse;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
valdez@mac.com;valdez@mac.com;;;True;False;True;1.61803;3.1415;3;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
scato@yahoo.com;scato@yahoo.com;;;False;False;True;0.0;3.1415;3;1;Falcon;Cat;Cat;Cat;Cat;Cat;Dog;Dog
sinkou@live.com;sinkou@live.com;;;True;False;True;2.7182;3.1415;1;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
evilopie@comcast.net;evilopie@comcast.net;;;True;False;True;3.1415;3.1415;4;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
ducasse@gmail.com;ducasse@gmail.com;;;False;False;True;1.61803;3.1415;3;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
sthomas@sbcglobal.net;sthomas@sbcglobal.net;;;False;False;True;3.1415;3.1415;3;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
plover@msn.com;plover@msn.com;;;True;False;True;2.7182;3.1415;3;1;Dog;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
mavilar@yahoo.com;mavilar@yahoo.com;;;False;False;True;0.0;3.1415;1;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
josephw@msn.com;josephw@msn.com;;;False;False;True;0.0;3.1415;3;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
qmacro@yahoo.com;qmacro@yahoo.com;;;True;False;True;2.7182;3.1415;4;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
munson@mac.com;munson@mac.com;;;False;False;True;3.1415;3.1415;1;1;Cat;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
paulv@mac.com;paulv@mac.com;;;False;False;True;0.0;3.1415;1;1;Cat;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
dogdude@hotmail.com;dogdude@hotmail.com;;;False;False;True;2.7182;3.1415;3;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
symbolic@yahoo.ca;symbolic@yahoo.ca;;;False;False;True;2.7182;3.1415;4;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
carcus@yahoo.com;carcus@yahoo.com;;;True;False;True;0.0;3.1415;3;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
sblack@me.com;sblack@me.com;;;False;False;True;1.61803;3.1415;2;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
richard@gmail.com;richard@gmail.com;;;False;False;True;3.1415;3.1415;3;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
tbusch@yahoo.ca;tbusch@yahoo.ca;;;True;False;True;1.61803;3.1415;4;1;Falcon;Cat;Cat;Cat;Cat;Cat;Dog;Dog
gtaylor@aol.com;gtaylor@aol.com;;;False;False;True;2.7182;3.1415;2;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
burniske@att.net;burniske@att.net;;;False;False;True;0.0;3.1415;2;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
bebing@me.com;bebing@me.com;;;False;False;True;1.61803;3.1415;1;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
joglo@gmail.com;joglo@gmail.com;;;False;False;True;2.7182;3.1415;4;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
chrwin@sbcglobal.net;chrwin@sbcglobal.net;;;True;False;True;1.61803;3.1415;4;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
chaikin@yahoo.com;chaikin@yahoo.com;;;False;False;True;0.0;3.1415;4;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
jigsaw@verizon.net;jigsaw@verizon.net;;;False;False;True;1.61803;3.1415;2;1;Horse;Cat;Cat;Cat;Cat;Cat;Dog;Dog
wbarker@yahoo.ca;wbarker@yahoo.ca;;;False;False;True;1.61803;3.1415;1;1;Dog;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
ganter@verizon.net;ganter@verizon.net;;;True;False;True;0.0;3.1415;2;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
eegsa@att.net;eegsa@att.net;;;False;False;True;1.61803;3.1415;4;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
sethbrown@hotmail.com;sethbrown@hotmail.com;;;False;False;True;2.7182;3.1415;1;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
solomon@me.com;solomon@me.com;;;False;False;True;0.0;3.1415;2;1;Horse;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
tellis@yahoo.ca;tellis@yahoo.ca;;;False;False;True;0.0;3.1415;1;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
jshirley@optonline.net;jshirley@optonline.net;;;False;False;True;0.0;3.1415;3;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
tattooman@verizon.net;tattooman@verizon.net;;;True;False;True;3.1415;3.1415;1;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
bescoto@yahoo.com;bescoto@yahoo.com;;;True;False;True;0.0;3.1415;3;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
hstiles@comcast.net;hstiles@comcast.net;;;True;False;True;3.1415;3.1415;3;1;Cat;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
gumpish@optonline.net;gumpish@optonline.net;;;True;False;True;1.61803;3.1415;1;1;Falcon;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
hikoza@optonline.net;hikoza@optonline.net;;;False;False;True;2.7182;3.1415;3;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
slanglois@yahoo.ca;slanglois@yahoo.ca;;;True;False;True;3.1415;3.1415;3;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
kmiller@verizon.net;kmiller@verizon.net;;;True;False;True;1.61803;3.1415;2;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
bowmanbs@hotmail.com;bowmanbs@hotmail.com;;;False;False;True;1.61803;3.1415;1;1;Cat;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
penna@msn.com;penna@msn.com;;;True;False;True;3.1415;3.1415;2;1;Dog;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
rnelson@live.com;rnelson@live.com;;;True;False;True;2.7182;3.1415;3;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
johndo@aol.com;johndo@aol.com;;;False;False;True;3.1415;3.1415;1;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
shrapnull@att.net;shrapnull@att.net;;;False;False;True;2.7182;3.1415;2;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
lcheng@comcast.net;lcheng@comcast.net;;;False;False;True;1.61803;3.1415;2;1;Horse;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
cyrus@msn.com;cyrus@msn.com;;;False;False;True;2.7182;3.1415;2;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
suresh@yahoo.ca;suresh@yahoo.ca;;;True;False;True;1.61803;3.1415;4;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
elflord@yahoo.ca;elflord@yahoo.ca;;;True;False;True;1.61803;3.1415;2;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
sassen@verizon.net;sassen@verizon.net;;;True;False;True;3.1415;3.1415;1;1;Horse;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
dbindel@live.com;dbindel@live.com;;;False;False;True;2.7182;3.1415;2;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
morain@hotmail.com;morain@hotmail.com;;;False;False;True;3.1415;3.1415;1;1;Falcon;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
timtroyr@outlook.com;timtroyr@outlook.com;;;True;False;True;0.0;3.1415;3;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
esbeck@live.com;esbeck@live.com;;;False;False;True;0.0;3.1415;3;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
ilyaz@hotmail.com;ilyaz@hotmail.com;;;False;False;True;0.0;3.1415;4;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
grinder@icloud.com;grinder@icloud.com;;;False;False;True;2.7182;3.1415;2;1;Falcon;Cat;Cat;Cat;Cat;Cat;Dog;Dog
trieuvan@gmail.com;trieuvan@gmail.com;;;False;False;True;1.61803;3.1415;1;1;Horse;Cat;Cat;Cat;Cat;Cat;Dog;Dog
koudas@msn.com;koudas@msn.com;;;False;False;True;0.0;3.1415;1;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
specprog@yahoo.com;specprog@yahoo.com;;;False;False;True;2.7182;3.1415;2;1;Cat;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
nichoj@outlook.com;nichoj@outlook.com;;;False;False;True;3.1415;3.1415;2;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
sopwith@outlook.com;sopwith@outlook.com;;;False;False;True;1.61803;3.1415;2;1;Horse;Cat;Cat;Cat;Cat;Cat;Dog;Dog
odlyzko@yahoo.com;odlyzko@yahoo.com;;;False;False;True;0.0;3.1415;1;1;Dog;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
warrior@optonline.net;warrior@optonline.net;;;False;False;True;0.0;3.1415;2;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
budinger@msn.com;budinger@msn.com;;;False;False;True;2.7182;3.1415;3;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
lstein@comcast.net;lstein@comcast.net;;;False;False;True;1.61803;3.1415;1;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
kmiller@gmail.com;kmiller@gmail.com;;;True;False;True;1.61803;3.1415;2;1;Horse;Cat;Cat;Cat;Cat;Cat;Dog;Dog
british@msn.com;british@msn.com;;;True;False;True;1.61803;3.1415;2;1;Horse;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
webinc@gmail.com;webinc@gmail.com;;;False;False;True;0.0;3.1415;2;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
kohlis@aol.com;kohlis@aol.com;;;False;False;True;1.61803;3.1415;3;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
matthijs@outlook.com;matthijs@outlook.com;;;False;False;True;1.61803;3.1415;4;1;Falcon;Horse;Cat;Cat;Cat;Cat;Dog;Dog
mmccool@me.com;mmccool@me.com;;;True;False;True;0.0;3.1415;1;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
ribet@hotmail.com;ribet@hotmail.com;;;True;False;True;1.61803;3.1415;4;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
wildfire@me.com;wildfire@me.com;;;False;False;True;3.1415;3.1415;4;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
makarow@gmail.com;makarow@gmail.com;;;False;False;True;3.1415;3.1415;2;1;Cat;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
garland@hotmail.com;garland@hotmail.com;;;False;False;True;1.61803;3.1415;4;1;Dog;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
kjohnson@outlook.com;kjohnson@outlook.com;;;True;False;True;2.7182;3.1415;3;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
oneiros@sbcglobal.net;oneiros@sbcglobal.net;;;False;False;True;0.0;3.1415;2;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
jaxweb@gmail.com;jaxweb@gmail.com;;;False;False;True;2.7182;3.1415;3;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
raides@msn.com;raides@msn.com;;;False;False;True;3.1415;3.1415;4;1;Cat;Horse;Cat;Cat;Cat;Cat;Dog;Dog
cantu@comcast.net;cantu@comcast.net;;;False;False;True;2.7182;3.1415;2;1;Dog;Dog;Cat;Cat;Cat;Cat;Dog;Dog
msherr@comcast.net;msherr@comcast.net;;;False;False;True;3.1415;3.1415;2;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
dwsauder@aol.com;dwsauder@aol.com;;;True;False;True;0.0;3.1415;4;1;Dog;Horse;Cat;Cat;Cat;Cat;Dog;Dog
comdig@gmail.com;comdig@gmail.com;;;False;False;True;1.61803;3.1415;4;1;Dog;Falcon;Falcon;Cat;Cat;Cat;Dog;Dog
esokullu@yahoo.com;esokullu@yahoo.com;;;False;False;True;1.61803;3.1415;1;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
kjetilk@aol.com;kjetilk@aol.com;;;False;False;True;2.7182;3.1415;1;1;Horse;Cat;Cat;Cat;Cat;Cat;Dog;Dog
boomzilla@icloud.com;boomzilla@icloud.com;;;False;False;True;1.61803;3.1415;4;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
cvrcek@outlook.com;cvrcek@outlook.com;;;True;False;True;1.61803;3.1415;2;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
iamcal@yahoo.ca;iamcal@yahoo.ca;;;True;False;True;3.1415;3.1415;1;1;Cat;Cat;Cat;Cat;Cat;Cat;Dog;Dog
